제목,날짜,작성자,작성일,댓글
"""윤석열, 고해성사부터""…야당 내 첫 공개 비판",2021-04-29 06:13:00,박숙*,2021-04-29 10:41:01,윤총장 박근혜대통령 구속 이재용구속 ~~문재인에게 정권을 넘기는데 큰힘을 실어 주는데 크게 기여했는데 그리고 그공으로 총장직 까지~~문제인에게 은혜를 갚아야죠~~우파는 아닌듯
"조응천 ""차기 당지도부 선출, 선명성 아닌 반성의 장 돼야""",2021-04-11 15:18:00,Ck yooncki*,2021-04-11 22:08:00,"검찰개혁, 언론개혁은 사명이다.
조의원은 당원들의 복소리에는 귀닫고 자기 정치 하려는 것이냐.
검찰 출신인 당신이 검찰개혁의 선봉에 서라.
초선 5인과 함께 그 선봉에서 네 팔이 떨어질 때까지 개혁의 깃발을 들어라 !!!"
"조응천 ""차기 당지도부 선출, 선명성 아닌 반성의 장 돼야""",2021-04-11 15:18:00,4861922*,2021-04-11 16:19:37,"응천아.. 민주당과 새누리당은 가는 길이 다르다. 엉뚱한 소리 하지말고 그냥 조용히 하든지, 좀 나가라. 선거는 때론 질 수도 있는 것이다. 그러나 올바른 길을 뚜벅 뚜벅 가야한다."
"'침통' 민주, 쇄신책 고심…'환호' 국민의힘, 새판 짜기",2021-04-08 06:11:00,이창*,2021-04-08 16:06:37,"민주당침통해할것없다
더욱분발하고180석으로
국민위한정책많이만들고
열심히국민만보고가자
대선필승할것"
"'침통' 민주, 쇄신책 고심…'환호' 국민의힘, 새판 짜기",2021-04-08 06:11:00,남인*,2021-04-08 10:48:35,"언론 개혁이 필요하다고 생각하는건 국민들만 그런건가? 아니면 그들의 세력이 너무 커 건드리지 못하는 것인가? 우리나라 언론, 종교, 기득권이 썩을대로 썩어서 냄새가 진동하는데 도대체 뭘 하는 것인가?"
"'침통' 민주, 쇄신책 고심…'환호' 국민의힘, 새판 짜기",2021-04-08 06:11:00,8378412*,2021-04-08 09:09:47,"현정권의 패착은
1. 적폐근절못함
2. 기레기척결 못함
3. 야당협의하지말고
주관적으로 정치하란국민의 소리 실천못함
4. 윤석렬한테 끌려다님
5. 결단력없는 정치전략"
"'침통' 민주, 쇄신책 고심…'환호' 국민의힘, 새판 짜기",2021-04-08 06:11:00,우익*,2021-04-08 09:02:49,"멍청한 민주당 의원들아.
돈퍼주고빰맞는 어리석은자들아.
보편적지급하랬지.
뭘 암것도 모르는것틀이 정치는 생물이네,공학이네 하면서 헛소리말고,
패배의가장큰원인은 선별지급때문이다.
계속그딴식으로 해봐라.
대선때도 국물도없다.
그리고언론계혁좀해라.180석을줘도못하고질질끌려다니는것을 보면서 당신들은 무능하다는생각외에는 없었음.
맑은물에미꾸리지한마리가 이물은 더럽다더럽다하고다닐때,가만있지말고미꾸라지한마리잡아라.그미꾸리지가계속휘젓고다니면 물이흐려지고.흐려지면 미꾸리지들이한마리두마리 동조한다그러면 진짜더러워진다.
나중엔온통흙탕물이된다.
잡아라"
"'침통' 민주, 쇄신책 고심…'환호' 국민의힘, 새판 짜기",2021-04-08 06:11:00,2492462*,2021-04-08 08:50:53,"여당도 집권당이라고 너무 헐렁했지...정신바짝 차리고 열심히 하세요...
대충대충...최전선에서 뛰는사람은 몇 없고...뒷짐지고 수수방관....
이러다가 다 뒤집어 집니다..."
대선 D-1년…양강 구도 속 추격전,2021-03-09 12:10:00,Justso*,2021-03-09 12:48:19,"국민이 우선 ""주목""해야 될 사항은 윤씨의 처
김건희와 장모의 불법에 관한 것이다.

현재 담 대선에 관한 국민의 관심이 윤씨에게
집중 되는 건 여러 가지 원인이 잇지만,
그저 ""또 다른 안철수 식"" 현상으로 가볍게
보는 게 맞다.

상식적인 판단이지만,
좀 더 구체적인 윤씨 자신과 가족의 비리와 불법이
나오게 되면, 본인 스스로 사라지지 않을까 한다.
우리는 수 없이 그런 상황들을 마주하고,지켜보지
않았나.
한 때 좍좍 뿌리며 지나가는 소나기일 뿐이다."
대선 1년 앞…선두주자들은 여의도에 없다,2021-03-09 14:48:00,이상*,2021-03-10 03:13:33,"ㅇㅈㅁ이 1위 아니면 양강구도 속에 있다는 현실이 정말 너무 매우 아주 우끼고 자빠졌네 라는 생각 자꾸드네
이런 데길
윤리도 아래위도 없고 막 노동판 짓이나하는"
"유승민 ""윤석열, 국민의힘과 합칠 수밖에 없을 것""",2021-03-29 10:42:00,이기*,2021-03-29 13:24:00,"너나잘해 이말도 아까워
관심끌지마"
"유승민 ""윤석열, 국민의힘과 합칠 수밖에 없을 것""",2021-03-29 10:42:00,3935575*,2021-03-29 12:52:54,뭐지..네이버가 이상해
"유승민 ""윤석열, 국민의힘과 합칠 수밖에 없을 것""",2021-03-29 10:42:00,김영*,2021-03-29 12:16:43,"검찰총장 끌여드려서 간판세우려는 유승민.,.......그렇게 인물이없냐.....윤석열꼬셔서 정치해라.,.....
탈탈털리고 명예도없이 남은여생 살아가다 끝난다.....윤석열이용가치없으면 반기문처럼 버릴거지???
"""
"유승민 ""윤석열, 국민의힘과 합칠 수밖에 없을 것""",2021-03-29 10:42:00,별당머*,2021-03-29 11:26:26,윤총장 입당하는순간부터는 망하는순서가될터 유념하시길
"유승민 ""윤석열, 국민의힘과 합칠 수밖에 없을 것""",2021-03-29 10:42:00,우연*,2021-03-29 11:16:27,"셀프 추천인거야?
승민아? ㅋㅋㅋ"
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,hongs*,2021-03-01 12:56:17,"지금 한국에서 여론조사믿는사람 있을까!?

참고 : 윤석열 은 박근혜 탄핵을 합법화하는 핵심수사요원이엇다!. 즉 2016년 12월 ~ 2017년 5월박근혜 정부의 국정농단 의혹 규명을위한, 박영수 특별검사팀장밑에서 국정농단핵심을 밣이는 수사팀장 으로 수사한 인물이다.
박근혜 엉터리탄핵은, 2016년12월~2017년5월까지박영수 특별검사팀의 수사도끝나기전에 , 2016년 12월 9일 오후 4시 10분에 탄핵소추안이 국회에서 가결, 2017년 3월 10일, 헌법재판소 가결하여, 박근혜는 대통령직에서 파면되었다.

박근혜 탄핵의 주모자 핵심수사요원 윤석열을, 보수계의 대통령후보로 추천하는이유는, 현실적으로 문재인 대통령 과 추미에 법무장관의 압력에 잘 버텨내는 능력자 이기때문이다.
1, 문재인 대통령의 최측근?의 조국부부의 부조리를 파혜처서 올바로처리했다는것
2, 청와대의 직권남용을 파혜치기위해서 청와대의 울산시장 선거 개입 의혹과 유재수 감찰 무마 사건등 청와대를 수사했다는것.
3, 권력수사 차단을위해서, 윤석열 참모진을 완전 해체’하는 검찰인사는, 추미애 법무장관이 문재인 대통령의 재가를 받아 단행했다?. 이같은 수사방해이자 직권남용에의해서, 윤석열 검찰총장의 참모들이 단 한 명 예외 없이 좌천됐다. 심각한 것은 수사 대상자들이 앞장서서 수사팀을 해체한 점이다. 인사를 주도한 추미애 법무장관과 청와대 민정수석실 비서관들은 검찰 수사 대상이다. 추 장관은 사건당시 민주당 대표였다. 그후 최후까지 윤석열은 문재인대통령과 추미에 법무장관의 압력에 잘 버텨낸 능력자 이기때문이다. 현재 비정상적인 국정을 바로잡을것을 기대하여, 걸어보자는 것이다 !."
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,이현*,2021-03-03 08:13:11,틀니딱딱 사회의암
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,hongs*,2021-03-01 12:43:26,"한국사람중에 여론조사믿는사람 몇이나될까!?

국민의51%가넘는보수계(保守界) 의 차기 대통령후보를 누구를 추천하시겠읍니까 !?
다음은 필자 본인 의 추천인물 : *반기문 *조원진 *윤석열 *김관진 *김진태 *김문수 *이정현 *우병우 . 추천된 후보자들이 공평하게경쟁하여, 보수계내 와 국민전체 의 지지자들을 합게해 최종적으로, 보수계단일(單一)대통령 후보자로 추대한다 !.

참고 : *반기문은 대한민국의 제7대 외교통상부 장관을 역임한 외교관이자 제8대 유엔 사무총장이다, 충청북도 음성군 원남면 출신이다.
출생: 1944년 6월 13일 (76세),
*조원진은 대한민국의 정치인이다. 우리공화당의 홍문종 의원과 공동 당대표로서의 3선 국회의원이었다. 2016.08~2016.12 새누리당 최고위원
출생: 1959년 1월 7일 (62세), 대한민국 대구광역시 성당동
* 윤석열은 대한민국의 제43대 검찰총장이다.
출생: 1960년 12월 18일 (60세), 서울특별시 서대문구 연희동에서 태어났다.
*김관진, (71세) 육군대장 예편, 이명박 박근혜 정부 제43대 국방부 장관,
박근혜 정부, 국가안보실장 역임
* 김진태는 대한민국의 검사 출신 법조인이자 제19•20대 국회의원인 정치인이다.
출생: 1964년 10월 13일 (56세), 대한민국 춘천시
* 김문수는 대한민국의 노동운동가 출신의 정치인이다. 제15•16•17대 국회의원과 제32•33대 경기도지사를 지냈다.
출생: 1951년 8월 27일 (69세), 대한민국 영천시
* 이정현　：동국대학교 정치외교학과 겸임교수、　청와대 정무수석
새누리당 최고위원 새누리당 대표 역임
출생　: 　1958년 10월 13일 (62세) 대한민국 전라남도 곡성군 목사동면
*우병우는 대한민국의 검사 출신 법조인　신념 과 불굴의 투지의사나이,
박근혜 정부 제4대 민정수석비서관을 지냈다.
출생: 1967년 1월 28일 (54세), 대한민국 봉화군

https://www.*****be.com/watch?v=x9tIs41iJnI&t=20s"
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,????최재*,2021-03-01 19:19:25,쓰레기들을 정리해 놓으셨네??
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,이현*,2021-03-03 08:11:58,틀니딱딱 사회의암 계층
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,12402555*,2021-03-01 11:12:31,윤씨가 15%? 잘하면 호스티스 출신 영부인 나오겠다. 당신이 윤씨를 지지한다면 당신은 대한민국에서 15% 안에 드는 무식한 사람임을 인정하고 싶진 않겠지만 인정해야 한다.
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,1962906*,2021-03-01 10:48:07,나라가 망해도 나만 대통령하면 그만
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,고숙*,2021-03-01 11:55:19,개
이재명 대선주자 선호도 23.6%로 1위 유지…이낙연·윤석열 2위,2021-03-01 10:07:00,임종*,2021-03-01 10:39:08,ㅋㅋ 짜장 홍표 새대 칠푼이 넘웃김
"야권은 '도쿄 아파트' 쟁점화…""MB 사찰에 쫓겨가""",2021-03-22 20:18:00,조지*,2021-03-23 23:38:53,도쿄에 아파트가지고 있으면 안되나? 그게 죄냐? 불법적으로 부당하게 도쿄에 아파트를 산거면 뚜드려 맞아야지... 근데 자기가 자기돈으로 부동산투자한게 먼잘못이지? 심지어 저게 우리나라도 아니고 일본인데? 일본에 부동산투자해서 이득봣으면 애국한거 아니냐? 왜 진보만 티끌한점없이 깨끗해야되고 거지여야되지? 존나웃기네 ㅋㅋ
"야권은 '도쿄 아파트' 쟁점화…""MB 사찰에 쫓겨가""",2021-03-22 20:18:00,고숙*,2021-03-23 03:53:55,원 죄는 국민의적 친일역적 들에게 있었다.
"야권은 '도쿄 아파트' 쟁점화…""MB 사찰에 쫓겨가""",2021-03-22 20:18:00,윤수*,2021-03-23 00:40:01,"성일종! 이런게 국회의원이라니 도쿄에 집 있다고. 토착왜구에 도쿄 시장이나 하라니 그럼 해외에서 집 있고 거주까지 하는 사람들은 뭐냐?
난 독일 사는데 그럼 친독 매국노고 일본 사는 사람은 다 친일 매국노겠다.
그러니 국민의짐 이라고 하고 친일당이라하지...."
"야권은 '도쿄 아파트' 쟁점화…""MB 사찰에 쫓겨가""",2021-03-22 20:18:00,이창*,2021-03-23 12:25:17,"씨레기들이국개를해서그래요
사람이이해를합시다
반려견으로생각해야"
"야권은 '도쿄 아파트' 쟁점화…""MB 사찰에 쫓겨가""",2021-03-22 20:18:00,이동*,2021-03-22 22:34:36,파면 팔수록 mb정권 비리가 나올것 같은데? 쿠킴당 비리도 같이?
[국회M부스] 지지율 '따상' 윤석열 등장에 꿈틀대는 野 잠룡들,2021-03-09 10:47:00,재*,2021-03-17 12:23:08,막상 레이스 땅 하면 반기문짝 나지
[국회M부스] 지지율 '따상' 윤석열 등장에 꿈틀대는 野 잠룡들,2021-03-09 10:47:00,천*,2021-03-12 06:58:09,잠룡이라 하기엔ᆢ 아무나 후보내니 제 2의 박근혜 또 나올라ᆢ
[국회M부스] 지지율 '따상' 윤석열 등장에 꿈틀대는 野 잠룡들,2021-03-09 10:47:00,이창*,2021-03-09 17:57:51,윤씨꼭완주해라
[국회M부스] 지지율 '따상' 윤석열 등장에 꿈틀대는 野 잠룡들,2021-03-09 10:47:00,Sunhaeng Par*,2021-03-09 16:22:54,"유튜브에서 131270thebest를 검색시청하시면 신의 존재증명, ** 받는법, 천국 과 지옥, 축복 과 저주, 기도하는법, 요한계시록, 악의 존재이유, 최후의 심판, 이긴자와 144000, 정의, 유일신, 양심과 **, 성령 받는법 등등 설명을 들을 수 있습니다."
[국회M부스] 지지율 '따상' 윤석열 등장에 꿈틀대는 野 잠룡들,2021-03-09 10:47:00,천*,2021-03-12 06:59:23,성경이나 읽으세요ᆢ이상한 데 기웃거리지말고
[국회M부스] 지지율 '따상' 윤석열 등장에 꿈틀대는 野 잠룡들,2021-03-09 10:47:00,2944717*,2021-03-09 15:30:06,쓰레기 지
